Lat,Lon,City,Country Code,Max Temp,Humidity,Cloudiness,Wind Speed
60.53,-143.78,palmer,us,57.24,72.0,75.0,18.34
71.09,91.8,talnakh,ru,31.85,96.0,88.0,17.05
-62.65,168.29,bluff,nz,74.15,92.0,0.0,2.39
43.31,36.27,sinop,tr,48.06,49.0,75.0,13.87
81.98,167.76,pevek,ru,-0.82,78.0,56.0,1.72
-54.2,112.4,albany,au,39.97,94.0,90.0,3.36
-71.81,-27.71,ushuaia,ar,46.4,75.0,75.0,17.22
73.82,32.74,vardo,no,48.0,71.0,90.0,2.39
76.46,-60.28,upernavik,gl,10.52,100.0,76.0,6.42
-14.81,-16.33,georgetown,sh,71.6,94.0,0.0,4.7
29.83,-137.27,half moon bay,us,46.06,93.0,1.0,10.33
-61.25,-157.47,mataura,pf,59.0,91.0,24.0,2.95
45.57,-124.04,astoria,us,41.54,93.0,1.0,3.36
-39.73,-45.31,chuy,uy,67.76,89.0,68.0,12.01
62.79,-111.1,yellowknife,ca,25.07,92.0,75.0,13.87
-2.34,156.01,namatanai,pg,80.18,100.0,76.0,5.97
-13.85,-84.21,paramonga,pe,66.23,98.0,64.0,4.63
52.69,15.21,gorzow wielkopolski,pl,57.29,52.0,20.0,7.09
41.77,92.38,hami,cn,66.32,30.0,0.0,13.47
53.12,-1.71,matlock,gb,47.98,81.0,0.0,6.93
39.42,-52.4,bay roberts,ca,34.29,93.0,90.0,6.93
42.96,139.56,iwanai,jp,34.28,91.0,48.0,10.0
13.62,-25.24,sao filipe,cv,70.01,98.0,0.0,20.74
9.07,-76.35,puerto escondido,co,82.52,100.0,8.0,8.43
65.18,99.94,tura,ru,83.24,63.0,0.0,5.75
-15.86,75.73,hithadhoo,mv,84.5,100.0,36.0,8.43
-45.11,127.3,esperance,au,76.28,88.0,20.0,3.36
54.25,19.02,nowy dwor gdanski,pl,57.13,62.0,0.0,16.11
24.31,170.71,butaritari,ki,82.34,100.0,80.0,12.57
-46.14,-139.69,rikitea,pf,80.9,93.0,12.0,20.07
89.42,82.13,dikson,ru,27.62,99.0,80.0,28.68
23.97,-20.97,nouadhibou,mr,68.0,68.0,20.0,11.41
17.4,-75.66,morant bay,jm,78.8,57.0,20.0,6.93
12.52,26.06,umm kaddadah,sd,90.98,10.0,0.0,8.77
34.6,-74.93,havelock,us,51.93,93.0,1.0,7.99
6.84,-61.3,upata,ve,73.7,85.0,76.0,7.09
-35.12,109.26,busselton,au,73.62,21.0,68.0,4.18
72.76,10.14,sorland,no,34.66,59.0,75.0,32.21
44.39,-146.97,kodiak,us,34.32,93.0,90.0,21.92
-20.03,-142.8,tautira,pf,82.18,69.0,20.0,3.36
-42.93,29.97,port alfred,za,71.63,80.0,8.0,13.02
-24.43,-165.13,avarua,ck,77.0,83.0,80.0,9.17
36.7,-136.94,fortuna,us,58.03,51.0,0.0,6.93
73.27,-162.64,barrow,us,65.15,87.0,0.0,11.68
0.9,-59.67,boa vista,br,78.8,83.0,40.0,4.7
43.68,-167.92,bethel,us,29.35,92.0,1.0,8.05
70.62,100.51,khatanga,ru,24.11,87.0,12.0,7.43
46.59,56.39,beyneu,kz,41.03,100.0,88.0,6.76
-42.73,-70.41,san carlos de bariloche,ar,39.2,69.0,0.0,5.82
-36.53,59.44,saint-philippe,re,28.53,86.0,75.0,3.06
53.12,27.92,lyuban,by,50.03,74.0,8.0,11.34
-30.16,66.52,mahebourg,mu,84.18,62.0,20.0,8.05
50.06,-60.03,saint-augustin,ca,61.9,54.0,0.0,10.29
30.49,-7.14,marrakesh,ma,66.2,68.0,40.0,4.7
-33.43,86.91,carnarvon,au,79.91,14.0,32.0,4.29
55.96,-66.39,sept-iles,ca,5.31,59.0,40.0,2.24
-61.16,151.21,hobart,au,50.27,50.0,20.0,18.34
53.61,-56.42,saint anthony,ca,27.36,78.0,90.0,4.7
41.02,131.16,khasan,ru,33.47,94.0,92.0,9.44
18.46,-55.5,saint-francois,gp,61.5,41.0,0.0,13.87
-3.35,137.98,nabire,id,71.45,95.0,88.0,0.72
36.07,92.73,yumen,cn,53.09,27.0,0.0,11.79
45.16,9.43,castel san giovanni,it,61.3,41.0,0.0,4.7
22.18,-144.72,hilo,us,65.23,77.0,90.0,3.36
-10.85,101.65,labuhan,id,80.9,85.0,48.0,2.95
-60.71,21.52,bredasdorp,za,80.6,47.0,68.0,6.93
79.16,-47.39,ilulissat,gl,26.6,73.0,75.0,5.82
-60.32,-87.26,punta arenas,cl,50.0,66.0,75.0,28.86
-42.64,-0.48,saldanha,za,58.67,34.0,0.0,3.85
81.77,121.82,tiksi,ru,21.68,72.0,56.0,13.24
-1.37,-137.13,atuona,pf,82.7,99.0,92.0,11.68
9.22,-66.51,altagracia de orituco,ve,73.34,77.0,44.0,6.64
-16.93,165.19,norsup,vu,83.24,84.0,32.0,5.97
88.03,-62.09,narsaq,gl,30.2,86.0,90.0,3.36
-31.56,77.27,bambous virieux,mu,84.25,62.0,20.0,8.05
33.98,132.5,kure,jp,56.34,71.0,75.0,2.24
74.4,146.42,chokurdakh,ru,19.16,82.0,76.0,13.8
-27.34,-13.53,jamestown,sh,55.52,61.0,0.0,12.57
-12.03,30.14,samfya,zm,82.16,49.0,0.0,7.99
34.0,105.09,beidao,cn,52.28,32.0,76.0,2.62
30.09,0.99,adrar,dz,80.6,30.0,40.0,17.22
-3.32,-77.91,gualaquiza,ec,62.36,99.0,88.0,1.05
-31.44,-0.14,luderitz,na,66.68,94.0,80.0,10.45
37.69,-50.95,torbay,ca,34.29,93.0,90.0,6.93
-17.9,39.08,mocuba,mz,75.05,96.0,92.0,4.63
51.59,-142.75,sitka,us,32.0,91.0,68.0,14.0
65.59,32.37,loukhi,ru,34.37,74.0,64.0,12.68
-0.22,-54.84,alenquer,br,77.0,100.0,75.0,2.51
50.97,109.14,tarbagatay,ru,39.2,41.0,40.0,13.42
-50.93,-55.66,rawson,ar,60.02,56.0,0.0,9.44
-62.37,-14.43,cape town,za,74.64,50.0,40.0,4.7
53.03,-109.54,lloydminster,ca,32.0,84.0,90.0,10.29
85.37,119.57,saskylakh,ru,17.72,81.0,12.0,6.64
43.28,100.17,hovd,mn,37.81,80.0,75.0,11.41
3.44,19.24,gemena,cd,79.82,81.0,8.0,2.84
49.55,137.47,selikhino,ru,23.12,76.0,68.0,2.51
65.97,-4.38,klaksvik,fo,37.4,69.0,80.0,18.34
21.54,-81.77,santa fe,cu,72.46,90.0,68.0,1.99
-23.94,11.53,walvis bay,na,79.21,35.0,40.0,8.05
77.55,-83.01,qaanaaq,gl,-10.0,67.0,0.0,9.66
-2.23,126.48,ambon,id,56.41,58.0,0.0,4.7
33.19,-82.39,evans,us,29.14,92.0,1.0,12.75
20.21,-13.63,atar,mr,64.4,77.0,100.0,6.93
-17.9,-26.22,maceio,br,77.0,94.0,75.0,5.82
-3.02,-100.67,puerto ayora,ec,75.41,100.0,0.0,5.19
20.09,67.09,dwarka,in,98.19,22.0,24.0,6.93
37.47,37.96,birecik,tr,50.52,100.0,90.0,14.99
-16.06,-46.27,arinos,br,69.47,89.0,56.0,4.63
75.08,142.03,deputatskiy,ru,8.27,76.0,0.0,2.73
38.42,20.0,lixourion,gr,58.91,36.0,20.0,23.04
61.14,-40.74,nanortalik,gl,31.85,98.0,68.0,2.39
51.94,-7.24,tramore,ie,52.0,77.0,88.0,5.75
-16.69,-36.93,santa cruz cabralia,br,73.4,88.0,20.0,6.93
-14.45,121.81,broome,au,58.39,67.0,0.0,5.82
26.25,-84.32,venice,us,61.66,88.0,40.0,8.05
30.65,125.83,shenjiamen,cn,54.8,97.0,92.0,25.1
-51.18,-52.8,necochea,ar,62.01,93.0,0.0,1.01
-7.23,54.3,victoria,sc,86.0,70.0,75.0,5.82
-45.83,71.09,souillac,mu,59.81,44.0,0.0,13.87
-79.45,10.82,hermanus,za,78.01,51.0,76.0,1.99
-46.3,-173.76,vaini,to,92.6,44.0,0.0,6.53
-6.27,-36.82,jucurutu,br,70.1,93.0,12.0,2.84
67.41,-71.96,clyde river,ca,-2.21,84.0,90.0,21.92
68.92,-133.6,inuvik,ca,23.0,92.0,20.0,3.36
30.0,157.13,hasaki,jp,46.29,93.0,75.0,8.05
27.68,132.45,naze,jp,84.2,89.0,75.0,7.54
-5.57,-81.16,sechura,pe,70.37,77.0,8.0,7.87
43.34,20.87,josanicka banja,rs,60.8,31.0,0.0,2.24
13.69,-41.01,cayenne,gf,73.4,94.0,20.0,2.24
8.76,154.74,kavieng,pg,82.7,100.0,44.0,8.99
16.57,18.23,faya,td,76.12,29.0,20.0,13.87
-20.97,119.86,port hedland,au,93.2,44.0,36.0,6.93
33.31,-79.93,goose creek,us,57.76,67.0,75.0,10.29
-20.82,-173.26,pangai,to,80.9,100.0,56.0,6.2
58.77,51.91,chernaya kholunitsa,ru,32.75,94.0,92.0,21.74
-2.81,22.15,lodja,cd,81.8,82.0,64.0,3.74
48.19,0.23,le mans,fr,57.85,41.0,0.0,4.7
65.81,-94.61,thompson,ca,21.2,73.0,90.0,6.93
-49.61,-104.82,castro,cl,51.8,93.0,75.0,9.17
27.94,65.81,surab,pk,71.9,28.0,0.0,8.66
5.83,-70.98,puerto rondon,co,72.26,98.0,92.0,5.64
-42.61,-21.58,arraial do cabo,br,70.68,94.0,20.0,0.6
70.84,-130.31,tuktoyaktuk,ca,20.78,86.0,80.0,11.68
38.45,163.0,severo-kurilsk,ru,29.06,99.0,64.0,17.16
-3.38,-50.43,tucurui,br,72.8,99.0,88.0,2.51
4.89,142.45,vanimo,pg,83.78,98.0,24.0,22.3
16.34,-107.66,san patricio,mx,70.73,88.0,0.0,4.41
65.43,10.78,rorvik,no,36.91,100.0,75.0,9.17
-3.73,-150.86,faanui,pf,83.6,100.0,48.0,5.19
-20.07,158.79,poum,nc,55.4,20.0,20.0,12.75
-47.79,165.33,tuatapere,nz,59.0,91.0,0.0,10.78
36.1,-60.35,saint george,bm,57.74,47.0,40.0,6.93
56.17,77.48,vengerovo,ru,35.27,96.0,92.0,12.24
-3.97,-67.35,carauari,br,75.05,94.0,80.0,2.51
58.2,146.02,okhotsk,ru,27.62,69.0,64.0,3.96
-33.64,130.61,flinders,au,55.44,58.0,0.0,24.16
-4.79,165.78,lata,sb,62.81,54.0,56.0,1.95
-15.32,-70.66,lampa,pe,60.49,87.0,20.0,4.7
-34.67,-77.82,lebu,cl,76.4,31.0,0.0,8.77
-13.39,24.91,kalengwa,zm,81.53,55.0,0.0,12.24
-17.27,-41.52,padre paraiso,br,65.33,96.0,32.0,7.31
-77.83,29.86,port elizabeth,za,49.19,81.0,20.0,6.98
19.85,29.07,marawi,sd,80.01,80.0,8.0,10.0
60.19,116.49,lensk,ru,30.95,69.0,48.0,3.29
44.33,-71.43,berlin,us,59.36,54.0,0.0,10.29
10.38,92.27,port blair,in,85.22,100.0,12.0,1.95
45.65,48.72,kirovskiy,ru,36.35,61.0,44.0,1.61
14.61,-131.43,guerrero negro,mx,57.68,94.0,88.0,12.24
62.12,-143.85,fairbanks,us,25.34,85.0,1.0,4.7
12.7,125.63,anito,ph,80.63,95.0,88.0,11.34
43.82,-110.51,jackson,us,60.93,59.0,90.0,13.87
67.8,49.52,naryan-mar,ru,32.39,100.0,92.0,6.87
53.09,104.63,ust-ordynskiy,ru,42.8,35.0,0.0,6.71
24.64,86.21,jha jha,in,95.03,86.0,0.0,6.76
-22.02,-171.54,alofi,nu,75.2,94.0,76.0,3.36
26.17,115.89,ganzhou,cn,70.82,74.0,0.0,3.62
-26.61,54.07,saint-joseph,re,61.57,39.0,0.0,5.82
19.96,-58.81,codrington,ag,73.54,83.0,36.0,10.29
48.25,-101.19,minot,us,21.11,79.0,1.0,9.17
57.87,-114.74,high level,ca,33.8,74.0,40.0,12.75
15.4,113.75,wanning,cn,56.05,57.0,0.0,3.36
62.76,87.88,turukhansk,ru,33.02,87.0,80.0,18.5
15.96,-172.41,kapaa,us,65.8,72.0,90.0,3.36
-45.16,43.91,margate,za,50.29,50.0,20.0,18.34
60.97,-49.9,paamiut,gl,30.23,96.0,88.0,19.28
-15.83,-147.57,tiarei,pf,82.18,69.0,20.0,3.36
41.91,-118.63,winnemucca,us,27.52,79.0,1.0,2.17
-39.97,-91.73,ancud,cl,51.8,100.0,75.0,9.17
19.0,-106.41,tomatlan,mx,56.42,84.0,0.0,2.06
1.18,130.76,sorong,id,75.59,100.0,76.0,4.74
25.28,-103.31,nazareno,mx,61.29,29.0,0.0,1.01
-39.06,158.53,kiama,au,54.54,58.0,0.0,24.16
72.17,86.67,dudinka,ru,32.39,98.0,88.0,20.51
62.59,116.07,suntar,ru,32.39,67.0,12.0,1.05
29.77,9.66,nalut,ly,55.88,78.0,0.0,4.97
50.59,35.7,grayvoron,ru,46.4,65.0,90.0,8.95
55.33,9.89,assens,dk,54.66,50.0,0.0,3.06
43.21,108.51,mandalgovi,mn,34.91,66.0,80.0,7.76
-75.72,126.28,new norfolk,au,50.29,50.0,20.0,18.34
-1.03,119.78,palu,id,71.63,85.0,88.0,1.72
8.89,85.63,kalmunai,lk,91.7,53.0,0.0,8.66
60.92,60.7,polunochnoye,ru,39.68,72.0,64.0,17.83
-2.31,-45.74,maracacume,br,73.79,95.0,48.0,2.73
48.26,48.34,tambovka,ru,54.17,63.0,0.0,9.44
-31.15,-79.22,valparaiso,cl,39.38,80.0,90.0,14.99
-71.26,54.51,east london,za,73.4,73.0,20.0,16.11
-13.99,33.72,lilongwe,mw,77.0,53.0,75.0,6.93
-5.57,155.58,arawa,pg,87.65,75.0,0.0,4.52
33.07,92.84,lasa,cn,60.06,72.0,75.0,3.36
-27.44,-45.11,porto belo,br,66.02,100.0,0.0,6.93
17.46,121.85,minanga,ph,69.74,88.0,56.0,1.72
0.28,99.77,payakumbuh,id,79.73,84.0,56.0,2.84
-10.24,48.3,ambilobe,mg,81.98,100.0,12.0,4.18
68.96,27.2,karasjok,no,33.8,55.0,40.0,28.86
9.71,120.28,osmena,ph,81.98,71.0,92.0,10.0
83.83,161.5,cherskiy,ru,-0.64,66.0,32.0,2.73
42.4,-88.62,harvard,us,33.35,90.0,90.0,12.75
65.24,126.54,sangar,ru,20.06,55.0,0.0,4.52
49.48,-10.88,skibbereen,ie,46.4,65.0,75.0,4.7
56.51,-12.32,westport,ie,46.44,93.0,90.0,4.7
4.09,-35.89,itarema,br,75.05,94.0,92.0,3.4
-6.54,111.28,rembang,id,84.23,93.0,0.0,8.66
-14.14,58.51,cap malheureux,mu,84.54,62.0,20.0,8.05
-6.18,-29.0,cabedelo,br,78.8,94.0,75.0,4.7
69.28,70.37,yar-sale,ru,31.85,91.0,0.0,18.28
79.14,41.4,ostrovnoy,ru,27.98,91.0,12.0,16.49
31.87,-111.32,green valley,us,41.47,100.0,90.0,11.41
14.38,117.19,cabra,ph,60.73,42.0,20.0,9.17
52.06,30.78,lyubech,ua,47.24,74.0,80.0,11.45
8.76,-16.49,bubaque,gw,80.72,91.0,76.0,19.51
36.15,-8.55,lagos,pt,87.8,79.0,75.0,3.36
62.44,61.77,agirish,ru,40.31,62.0,0.0,12.57
-19.94,146.4,charters towers,au,74.6,92.0,56.0,0.83
54.89,-89.27,sioux lookout,ca,8.6,65.0,1.0,5.82
36.69,127.94,seoul,kr,39.49,76.0,75.0,3.36
-2.68,-64.8,uarini,br,73.16,94.0,92.0,2.95
63.03,69.69,gornopravdinsk,ru,42.29,75.0,0.0,11.34
38.38,169.4,nikolskoye,ru,45.86,65.0,0.0,15.66
57.87,91.49,pirovskoye,ru,40.94,71.0,76.0,10.0
-16.32,168.51,lakatoro,vu,83.24,84.0,32.0,5.97
12.12,-84.3,nueva guinea,ni,72.8,71.0,12.0,5.08
-43.03,-47.01,rocha,uy,64.7,89.0,44.0,7.76
22.6,52.5,abu dhabi,ae,82.47,32.0,20.0,13.87
-25.08,144.13,emerald,au,80.64,66.0,20.0,3.36
54.54,-63.05,havre-saint-pierre,ca,15.8,47.0,90.0,4.7
58.69,64.92,tabory,ru,57.96,60.0,44.0,12.01
-7.01,3.6,gamba,ga,31.22,94.0,24.0,5.64
38.27,58.16,buzmeyin,tm,64.4,59.0,90.0,4.7
89.15,25.95,longyearbyen,sj,19.4,62.0,20.0,17.22
11.69,45.93,aden,ye,80.45,96.0,0.0,11.34
-4.18,114.73,martapura,id,78.8,83.0,40.0,2.24
2.71,77.95,galle,lk,63.27,100.0,90.0,11.41
20.36,12.17,bilma,ne,84.95,25.0,0.0,19.06
-30.61,-42.25,imbituba,br,68.0,88.0,0.0,5.82
68.89,-9.25,vestmanna,fo,37.4,69.0,80.0,18.34
20.72,-40.57,ponta do sol,cv,63.35,86.0,12.0,7.54
20.3,-96.07,vega de alatorre,mx,59.48,93.0,12.0,3.62
57.42,-101.59,flin flon,ca,19.79,69.0,48.0,2.73
16.72,-6.33,nara,ml,54.45,93.0,75.0,4.7
23.35,-91.85,celestun,mx,76.22,97.0,0.0,19.51
16.64,-21.31,santa maria,cv,64.4,100.0,0.0,2.24
53.56,90.27,sorsk,ru,42.83,87.0,12.0,3.4
59.45,-139.16,haines junction,ca,25.55,86.0,48.0,1.95
-4.58,12.07,loandjili,cg,87.8,62.0,20.0,8.05
-18.81,-154.7,vaitape,pf,84.14,99.0,0.0,6.98
2.45,27.21,isiro,cd,90.89,50.0,0.0,2.95
11.1,4.41,jega,ng,96.29,24.0,0.0,5.97
-16.18,-37.44,belmonte,br,63.54,37.0,0.0,3.0
33.65,-69.13,hamilton,bm,35.33,100.0,90.0,18.34
3.57,149.41,lorengau,pg,82.88,98.0,92.0,9.22
57.37,175.28,beringovskiy,ru,31.85,92.0,88.0,10.78
69.16,66.69,kharp,ru,27.26,90.0,32.0,7.65
-52.34,-39.79,mar del plata,ar,52.1,74.0,0.0,10.22
